	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
4059	620	374	514	501	681	367
5819	3575	3270	4532	4234	5082	3612
10452	2726	2866	3230	3128	4121	3223
348	481	145	1074	966	1068	646
341	55	108	243	218	217	166
1209	1495	2981	3370	3515	4599	3300
5971	137	168	199	249	203	243
11129	1099	1192	982	1042	1098	1036
162979	40	23	28	32	25	19
79760	279	448	480	512	491	446
105372419	144	154	162	132	175	150
284352	1979	793	732	768	782	685
284353	128	53	86	52	63	65
79090	441	308	483	423	487	349
388552	341	181	201	199	274	217
90332	3	15	30	33	15	9
57787	2703	2361	2226	2725	3257	2437
1158	27	16	11	20	21	2
147700	157	211	237	265	265	273
2068	3060	1717	2055	2100	2514	1997
10848	255	83	196	144	168	125
10849	894	777	823	829	1055	911
2067	2551	2372	2776	2517	3344	2412
2354	20	11	86	33	21	16
6253	997	884	836	1073	1037	623
147699	25	25	46	60	56	23
7408	1821	1922	2809	2560	2846	1833
107985315	20	13	10	26	12	21
80207	1997	1069	1056	1223	1394	1141
24139	173	166	189	224	167	142
100287177	18	19	25	22	20	10
2696	34	26	16	10	33	8
6633	1131	4153	5812	5196	6379	4674
54814	537	345	500	421	492	414
23403	1736	1282	1352	1343	1454	1130
147912	2273	717	975	895	1053	837
109729182	438	140	131	163	151	142
1760	3052	1400	1347	1382	1307	1315
1762	3377	2369	2134	2331	2538	1992
81492	28	12	13	12	20	4
8189	3768	3100	3212	3455	3671	3422
26145	1888	603	556	648	658	566
339344	303	220	285	298	270	311
4858	11720	8469	6605	8722	8870	5211
729440	526	236	242	210	266	183
8993	46	24	20	23	28	15
105372421	131	84	63	70	59	71
444882	50	45	44	47	39	29
64344	849	530	675	667	647	539
5536	1363	3139	3567	3341	4182	3297
105372426	195	341	335	315	289	277
83987	1152	921	686	788	675	729
55228	2527	2780	3370	3722	3782	2241
100506012	47	43	37	52	40	33
57469	388	116	67	121	85	101
808	7699	13552	15571	16675	20971	14831
5739	1487	2300	2681	2906	3299	2488
94235	511	119	107	217	217	137
147906	859	404	459	731	1011	801
100506068	21	22	18	27	21	28
25865	1026	1183	1558	1631	1821	1385
107987269	424	162	233	202	255	181
29888	4486	4370	4444	5055	5974	4439
79147	1568	771	760	902	896	777
6510	1060	1661	3529	2761	3057	3121
1175	1790	1616	2400	2181	2897	1965
2909	8057	11789	11349	14092	14236	11777
4861	132	29	78	86	58	47
54958	1393	389	393	339	406	264
23211	6597	3542	2761	3273	3217	3241
10055	6527	9448	11944	11130	13025	11358
27113	366	154	204	195	158	159
26093	1407	473	319	407	377	439
